id,features
10,"[0.22065307199954987, -0.42305898666381836, -0.2522682547569275, 0.22409850358963013, -0.3020082712173462, 0.3505387306213379, -0.13300538063049316, 0.17301452159881592, 0.19047671556472778, 0.25452569127082825, 0.11060178279876709, -0.3567008674144745, 0.1728445142507553, -0.31880512833595276, 0.7459843158721924, -0.1762700378894806, -0.6259828209877014, -0.023293511942029, 0.22057996690273285, 0.23515118658542633, -0.92512446641922, 0.09030811488628387, -0.305972695350647, -0.18881036341190338, 0.020306453108787537, -0.07373489439487457, 0.003981533460319042, 0.02523348666727543, 0.21094784140586853, -0.4720766544342041, -0.2117711752653122, -0.15100929141044617, 0.3182368576526642, 0.2313307225704193, 0.8028996586799622, -0.08839120715856552, -0.11326970905065536, 0.18827727437019348, 0.42484351992607117, 0.034689780324697495, -0.05219064652919769, -0.1670103818178177, -0.341962605714798, 0.6543334722518921, -0.30181750655174255, 0.3866596221923828, 0.04779481142759323, -0.04352276027202606, 0.8126901984214783, -0.4714084565639496, -0.09049306809902191, -0.02318449690937996, 0.6675034165382385, 0.5979878902435303, -0.6987900137901306, 0.18344102799892426, -0.3177322447299957, 0.2589210271835327, -0.46796730160713196, -0.2299671173095703, -0.25374531745910645, 0.4849661886692047, 0.02117607183754444, -0.27976828813552856, 0.3693816065788269, 0.1442384123802185, 0.3392661511898041, -0.1003292053937912, 0.21194444596767426, 0.22702358663082123, -0.47648951411247253, 0.07251264899969101, -0.13168571889400482, 0.1612512171268463, -0.31983616948127747, 0.11742572486400604, -0.018013423308730125, 0.38115257024765015, 0.04367639496922493, 0.8773632049560547, -0.2522326111793518, -0.22336611151695251, 0.20296640694141388, 0.06650571525096893, 0.4129696786403656, -0.3139194846153259, 0.41031360626220703, -0.24672125279903412, -0.622877836227417, -0.41064587235450745, -0.47805923223495483, -0.15463849902153015, 0.039876509457826614, -0.27855074405670166, 0.15743882954120636, 0.5784705281257629, 0.5835577845573425, 0.10109394788742065, -0.07934416830539703, -0.3502073585987091]"
20,"[0.012878269888460636, 0.28170397877693176, 0.0772276520729065, 0.1501254290342331, -0.3157635033130646, -0.027095841243863106, -0.1771974414587021, -0.2711496651172638, 0.3547714650630951, -0.38954293727874756, -0.23906180262565613, -0.20458805561065674, 0.36270779371261597, -0.09395663440227509, 0.3496841788291931, -0.046256162226200104, 0.1436397284269333, -0.4035671353340149, -0.30215883255004883, -0.05943279340863228, -0.5251676440238953, -0.023312410339713097, -0.48344895243644714, -0.2201371192932129, 0.2887219488620758, 0.10523908585309982, 0.2404237985610962, 0.5744585990905762, 0.18444094061851501, 0.28686222434043884, -0.35042399168014526, -0.6242856383323669, 0.039310943335294724, 0.3289783298969269, 0.5297098159790039, 0.23975275456905365, -0.7687064409255981, 0.2675907015800476, -0.49390697479248047, 0.6976093053817749, -0.3148239254951477, -0.08664694428443909, -0.6581201553344727, 0.7608802914619446, 1.3286914825439453, 0.01542503759264946, -0.04559149593114853, -0.11579551547765732, 0.9996333718299866, 0.2738269567489624, -0.051740653812885284, -0.03324280306696892, 1.0791908502578735, 0.00017289392417296767, -0.2829950153827667, 0.32290521264076233, 0.3456316292285919, -0.04284136742353439, -0.7393361330032349, -0.5970919728279114, 0.03933044895529747, 0.3641156852245331, -0.5364553928375244, -0.17084746062755585, 0.02333213947713375, 0.07144492864608765, 0.7350931763648987, -0.34197890758514404, -0.42591169476509094, -0.01571957767009735, -0.49883949756622314, -0.4769023060798645, 0.05818392336368561, 0.23167404532432556, 0.11549341678619385, -0.48776155710220337, -0.04532995447516441, -0.40745675563812256, 0.3650268614292145, 0.7505913376808167, 0.26714378595352173, 0.09525342285633087, 0.5813887715339661, 0.6428016424179077, 0.2819645404815674, -0.10141076892614365, -0.08837370574474335, -0.09760501235723495, -0.3177332580089569, -0.17120370268821716, -0.09347204864025116, -0.4253462553024292, -0.7199558615684509, 0.026047203689813614, -0.6339640617370605, -0.2548567056655884, 0.367349237203598, 0.05034780129790306, 0.485851913690567, -0.017865916714072227]"
30,"[0.5775667428970337, -0.2539706826210022, -0.2131919413805008, 0.18492881953716278, 0.3067513108253479, 0.5942113399505615, -0.3412052392959595, -0.016096048057079315, 0.2319129854440689, 0.2288946956396103, -0.27559250593185425, 0.04269507899880409, 0.19633939862251282, -0.25817006826400757, 0.6195801496505737, -0.1484825611114502, -0.2061413824558258, 0.09955225884914398, -0.1864296793937683, -0.5707409977912903, 0.039987266063690186, 0.21797418594360352, -0.2757958173751831, 0.6285349726676941, -0.007102803327143192, -0.6253281831741333, -0.07498756051063538, 0.2527006268501282, -0.21107128262519836, -0.3493765890598297, -0.2761078178882599, -0.3005498945713043, 0.8072697520256042, 0.29262226819992065, 0.4033513367176056, -0.3459042012691498, -0.5815985798835754, 0.22479496896266937, -0.06976605951786041, 0.5283969044685364, -0.5584532618522644, 0.058744244277477264, 0.11702077835798264, -0.08706437796354294, 0.07222054898738861, -0.1983245462179184, -0.6439754366874695, -0.19313094019889832, 0.306823194026947, 0.0951828733086586, 0.5615953207015991, -0.4282255172729492, -0.3460189402103424, 0.1577247679233551, -0.5134673714637756, 0.7106097936630249, -0.5516082644462585, -0.5184710025787354, -0.3832859396934509, -0.32447516918182373, -0.15524372458457947, 0.6892585754394531, -0.450693815946579, 0.2981988191604614, -0.8245248794555664, -0.02401934564113617, 0.42332857847213745, 0.19366329908370972, -0.39293935894966125, 0.23751626908779144, -0.1398160457611084, -0.193858802318573, 0.19369235634803772, -0.48779159784317017, -0.35566800832748413, -0.28426870703697205, -0.06238870322704315, -0.40960732102394104, -0.9026594161987305, 0.2406994253396988, -0.969474196434021, -0.44683435559272766, -0.0973823145031929, 0.09543532133102417, 0.14398549497127533, 0.09458498656749725, 0.7101617455482483, -0.5123254656791687, -0.18033885955810547, -0.15110602974891663, -0.5212332606315613, -0.2029663473367691, -0.25443845987319946, 0.6290664672851562, -0.005861534271389246, 0.47305840253829956, 0.08677179366350174, 0.13242720067501068, -0.18480882048606873, 0.12760265171527863]"
40,"[0.12384064495563507, -0.09340077638626099, -0.026850739493966103, -0.48932990431785583, 0.10345950722694397, 0.4542981684207916, -0.2511339783668518, -0.2733038663864136, 0.009805943816900253, 0.4089811444282532, -0.5610964894294739, 0.10067550837993622, 0.49643653631210327, -0.49985894560813904, -0.48325029015541077, 0.19069184362888336, 0.06811080873012543, 0.8581838607788086, 0.3571467995643616, -0.45070022344589233, 0.03899003565311432, 0.19628998637199402, 0.07215475291013718, 0.5513589978218079, 0.5607174038887024, 0.11833883821964264, 0.9059338569641113, -0.4309878647327423, -0.26740431785583496, -1.238370418548584, 0.09951376169919968, -1.0694589614868164, 0.46404415369033813, 0.19717775285243988, -0.46546587347984314, -0.060010675340890884, -0.00838528573513031, -0.013998487032949924, 0.33020591735839844, 0.5671372413635254, -0.5007359385490417, 0.11538880318403244, 0.16157791018486023, 0.7316731214523315, -0.3041468858718872, 0.5659971237182617, -0.036310307681560516, 0.1394668072462082, 0.031367089599370956, 0.14631816744804382, -0.36307916045188904, -0.07690690457820892, -0.22149743139743805, 1.0751105546951294, -0.028842680156230927, 0.5276767015457153, -0.3172237277030945, -0.33855098485946655, 0.26410427689552307, -0.23156028985977173, -0.4081074595451355, 1.1039515733718872, -1.2715216875076294, -0.21072109043598175, -0.0032380905468016863, -0.26199236512184143, 0.5268212556838989, -0.8387075662612915, 0.2507283091545105, -0.2097271978855133, -0.13210178911685944, -0.04892027750611305, 0.09848880022764206, -1.0138753652572632, 0.16201567649841309, -0.20128107070922852, -0.5897210240364075, -0.5594618320465088, 0.3197712302207947, 0.17327843606472015, 0.27344122529029846, -0.22878170013427734, -0.5923474431037903, 0.11744894832372665, 0.648190975189209, 0.5758992433547974, 0.08005361258983612, -0.15169058740139008, 0.271327942609787, -0.5944777727127075, 0.08577117323875427, -0.3308580219745636, 0.4198872447013855, -0.12434697896242142, 0.27339980006217957, -0.31088927388191223, 0.48460623621940613, 0.012479779310524464, -0.19784711301326752, 0.13090938329696655]"
50,"[0.2968544661998749, 0.6095526814460754, -0.3543945252895355, -0.6384764909744263, -0.17448143661022186, 0.45709097385406494, -0.04768158122897148, -0.12498560547828674, 0.03438589721918106, 0.3655492663383484, 0.11122612655162811, 0.17570577561855316, -0.18380966782569885, -0.2683638334274292, 0.35794582962989807, 0.15873168408870697, -0.7764352560043335, -0.7144505977630615, 0.30193057656288147, -0.373005211353302, 0.13816846907138824, -0.05029245465993881, -0.3133738934993744, 0.22348958253860474, 0.10315560549497604, 0.038467876613140106, -0.12336953729391098, 0.11003376543521881, -0.4557790458202362, -0.038208577781915665, -0.18873044848442078, -0.5440457463264465, 0.03159641474485397, -0.43116939067840576, -0.11642346531152725, -0.06334485113620758, -0.6377608776092529, -0.21621939539909363, -0.03599674254655838, 0.48457270860671997, -0.12774986028671265, 0.1440492421388626, 0.04191955178976059, 0.2200765311717987, -0.15015676617622375, -0.11808349937200546, 0.2705273926258087, 0.21421600878238678, 0.024163996800780296, 0.07581140846014023, -0.03310688957571983, 0.11399725079536438, -0.09695523232221603, 0.7290615439414978, -0.1884385198354721, 0.06644915044307709, -0.12144289165735245, -0.291963666677475, 0.09257019311189651, -0.3744935691356659, -0.07840567827224731, 0.23136532306671143, 0.1442648470401764, 0.09203745424747467, -0.35434794425964355, -0.00887401681393385, -0.16386546194553375, -0.11378611624240875, 0.12482186406850815, 0.25101855397224426, -0.41190871596336365, -0.7808591723442078, -0.09334925562143326, -0.35799989104270935, -0.315363347530365, 0.4480632543563843, -0.19893500208854675, -0.23070956766605377, 0.08341317623853683, 0.24334082007408142, -0.5265474319458008, -0.37086671590805054, -0.4570779502391815, -0.0031183394603431225, 0.16790199279785156, 0.3165556788444519, 0.35864996910095215, -0.2949049770832062, 0.35248687863349915, -0.3699970841407776, -0.5553433895111084, -0.21562311053276062, -0.4581061005592346, -0.10648270696401596, 0.17979565262794495, -0.29575610160827637, 0.110684335231781, 0.35336029529571533, -0.5582982897758484, 0.3269231617450714]"
60,"[0.9413261413574219, -0.007689250633120537, -0.004794686567038298, -0.4005190134048462, 0.058541785925626755, 0.3347828984260559, 0.09926945716142654, 0.12896423041820526, 0.0003385079326108098, 0.2782190442085266, -0.003668681252747774, -0.36231911182403564, 0.22159332036972046, -0.4035906493663788, 0.7424700856208801, 0.23799213767051697, -0.48858967423439026, -0.25364333391189575, 0.2091934084892273, -0.5165221095085144, 0.22513125836849213, 0.2503361403942108, 0.14257514476776123, -0.5202211737632751, 0.2239806205034256, 0.2977936267852783, 0.10020605474710464, -0.14702002704143524, -0.04026239365339279, 0.1182861477136612, -0.19246447086334229, -0.08447013795375824, -0.06082798168063164, -0.30727314949035645, 0.0674995705485344, -0.1926448792219162, -0.10221114754676819, -0.20821255445480347, -0.36519157886505127, -0.02945001982152462, -0.07024995237588882, 0.17871180176734924, -0.06663676351308823, 0.5955093502998352, -0.05878381431102753, 0.14977683126926422, -0.017310332506895065, -0.4520796537399292, 0.1995244324207306, 0.1605878323316574, 0.166596457362175, -0.0850539430975914, -0.0776485949754715, 0.2024262249469757, -0.0862397849559784, 0.3242321014404297, -0.7117455005645752, -0.38436973094940186, 0.19179265201091766, -0.14851830899715424, -0.6229021549224854, 0.234776109457016, -0.40825244784355164, 0.1466502845287323, 0.11825525015592575, 0.8397491574287415, 0.15648548305034637, -0.4038679003715515, -0.4399988055229187, 0.2161853313446045, -0.4701484143733978, -0.24095387756824493, -0.02041102759540081, 0.02575507014989853, -0.3235882818698883, -0.019170546904206276, -0.13528113067150116, 0.3948485553264618, -0.06665436923503876, -0.12836214900016785, -0.5392116904258728, -0.33834168314933777, -0.21804369986057281, 0.7195056676864624, -0.2607816159725189, 0.6427218914031982, 0.1523028016090393, 0.19590982794761658, -0.028035754337906837, 0.4995516538619995, 0.11266206949949265, -0.05315309017896652, 0.43463045358657837, -0.3949682116508484, 0.09077828377485275, -0.082147978246212, 1.0059624910354614, 0.8475252389907837, 0.09512325376272202, -0.3210790157318115]"
70,"[-0.21252751350402832, -0.25426459312438965, -0.2777180075645447, -0.1375945508480072, 0.4684837758541107, 0.4469912052154541, 0.2515493929386139, -0.3846285045146942, 0.1002333015203476, 0.11832470446825027, -0.17862461507320404, -0.32176828384399414, 0.3445952236652374, 0.24513356387615204, 0.9392101764678955, -0.1655886322259903, -0.304950475692749, -1.0479440689086914, -0.20038287341594696, -0.4314831793308258, -0.14670683443546295, -0.21459971368312836, -0.12112095952033997, 0.260334312915802, 0.002313898643478751, -0.30668577551841736, 0.23721832036972046, 0.37073543667793274, 0.11788898706436157, -0.0782218873500824, -0.5690210461616516, -0.8995850682258606, 0.8127991557121277, 0.0420512817800045, 0.09823833405971527, 0.09058453887701035, 0.2883862853050232, 0.07409635186195374, -0.09295336157083511, 0.6788938641548157, -0.2247854322195053, 0.07721413671970367, -0.7759923338890076, 0.11464708298444748, 0.4085519015789032, 0.2439289093017578, -0.23392550647258759, -0.12397368252277374, 0.45114678144454956, 0.33333390951156616, -0.517096757888794, 0.39539462327957153, 0.08462806046009064, 0.18206675350666046, -0.2889246642589569, 0.2640620470046997, -0.5791782736778259, -0.24425750970840454, 0.03623813018202782, -0.9063682556152344, 0.39768463373184204, 0.036245234310626984, 0.30995962023735046, 0.16499730944633484, -0.03581913188099861, -0.24760155379772186, -0.0733889490365982, -0.2437039613723755, -0.36895304918289185, 0.15856675803661346, -0.7558784484863281, -0.5770543813705444, -0.36658957600593567, 0.050355762243270874, -0.18348951637744904, -0.15751266479492188, -0.6410245895385742, 0.08080586045980453, 0.685060977935791, 0.1998642235994339, -0.28717368841171265, 0.19701045751571655, -0.4316226541996002, 0.2820888161659241, -0.10220281034708023, 0.5951738357543945, -0.35701024532318115, -0.3827841877937317, 0.050592921674251556, -0.5285382866859436, 0.05703407898545265, -0.2571049630641937, 0.16372452676296234, 0.4907887279987335, -0.19856537878513336, 0.15077994763851166, 0.16017061471939087, -0.143247589468956, -0.09381786733865738, 0.5465256571769714]"
80,"[-0.20707108080387115, -0.5930956602096558, -0.08432883769273758, -0.13998578488826752, -0.27167534828186035, 0.7819021940231323, -0.2196512371301651, -0.02381153218448162, -0.08610798418521881, 0.30520394444465637, -0.2641543745994568, -0.6489747166633606, 0.23013733327388763, -0.40978366136550903, 0.0779971107840538, 0.03598002344369888, -0.4122673273086548, 0.19412285089492798, -0.32944750785827637, -0.7100857496261597, -0.03924692049622536, 0.002681800164282322, -0.4706040918827057, -0.3752414286136627, 0.4472600519657135, 0.19805176556110382, 0.3607487976551056, -0.4267376959323883, -0.6795201301574707, -0.9549141526222229, 0.42878711223602295, -0.08672364056110382, 0.07747501879930496, 1.0391210317611694, 0.3407541513442993, 0.390301913022995, -0.700610339641571, -0.02247156761586666, -0.3605257570743561, 0.7450453042984009, 0.030424155294895172, -0.23396001756191254, -0.15875376760959625, -0.3162989020347595, -0.0859261229634285, 0.3794781565666199, -0.7649838328361511, -0.19093748927116394, -0.1165214255452156, -0.07258711755275726, -0.1975894272327423, 1.157461166381836, 0.1429474800825119, 0.9426237344741821, -0.09687744081020355, -0.2689618766307831, -0.508265495300293, -0.26085495948791504, -0.6089266538619995, -0.3434167206287384, -0.23863399028778076, 0.7362301349639893, -0.28963735699653625, -0.08579671382904053, 0.13853038847446442, -0.3678748309612274, 0.2460637390613556, 0.1215132400393486, -0.16042888164520264, -0.27438604831695557, 0.01586262881755829, 0.007735876366496086, -0.3957376480102539, 0.6511096954345703, 0.48520395159721375, -0.516137421131134, -0.6633901000022888, -0.1096791997551918, -0.15486647188663483, 0.11333314329385757, -0.03476114198565483, -0.08595184981822968, 0.14648586511611938, 0.2456669807434082, 0.7073434591293335, 0.25834426283836365, 0.5045161247253418, -0.10605382174253464, -0.21169979870319366, -0.024064000695943832, 0.43587079644203186, 0.015419485047459602, 0.28629857301712036, -0.341465026140213, -0.1886713206768036, 0.14751605689525604, 0.23618124425411224, 0.05299340561032295, -0.20518960058689117, -0.8382722735404968]"
90,"[0.22182568907737732, 0.23501044511795044, 0.07795250415802002, -0.7390295267105103, -0.07829390466213226, -0.09011105448007584, -0.113129161298275, 0.3629390299320221, -0.3469017446041107, -0.1611136496067047, -0.19476281106472015, -0.6948887705802917, 0.41723039746284485, -0.17869579792022705, 0.5339397192001343, 0.17867453396320343, -0.24715524911880493, -0.36567869782447815, 0.08754558861255646, -0.9237818121910095, 0.3135189116001129, 0.5718434453010559, -0.37719517946243286, -0.6422752737998962, 0.2941211462020874, 0.333149254322052, 0.22557145357131958, 0.037740308791399, -0.3014395833015442, 0.37148696184158325, -0.33500179648399353, 0.03677760809659958, -0.06087368726730347, -1.1977101564407349, 0.15202057361602783, 0.3968377709388733, -0.18732525408267975, -0.03361598029732704, -0.19632311165332794, 0.243576779961586, 0.01941550336778164, 0.35015857219696045, -0.7199710607528687, 0.02593916282057762, 0.45200565457344055, -0.788020670413971, -0.1496392786502838, 0.16625674068927765, 0.22155362367630005, 0.5098848938941956, -0.3577878773212433, 0.10538884252309799, -0.23064659535884857, 0.20222102105617523, 0.17891980707645416, 0.05074199289083481, -0.7775211930274963, 0.4060003459453583, 0.013700182549655437, -0.15666863322257996, -0.11286717653274536, -0.5902013778686523, -0.017463766038417816, 0.22526875138282776, 0.4077666699886322, -0.052677638828754425, 0.008666329085826874, -0.5531173944473267, 0.04347165301442146, 0.4218640923500061, -0.8795033097267151, -0.08105874061584473, -0.10912386327981949, 0.3071801960468292, -0.616841733455658, -0.36144813895225525, -0.23529121279716492, 0.8247039914131165, -0.4785414934158325, 0.23695363104343414, -0.09888291358947754, -0.4121410548686981, 0.4985903203487396, 0.533632218837738, -0.19840174913406372, 0.07333210110664368, 0.1870652288198471, -0.14713844656944275, -0.3285389542579651, -0.46406090259552, -0.6118377447128296, 0.32735776901245117, -0.22860877215862274, -0.303284227848053, 0.06037880852818489, 0.23838800191879272, 0.5508167147636414, 0.5408561825752258, -0.15919968485832214, 0.03133484721183777]"
100,"[-0.09955747425556183, -0.35442644357681274, -0.007994142360985279, -0.9936595559120178, -0.5098050236701965, 0.5159814357757568, -0.13468141853809357, -0.3101027309894562, 0.22273840010166168, 0.42490312457084656, -0.07313961535692215, -0.171861469745636, 0.4302317798137665, 0.13922806084156036, -0.14767061173915863, -0.2915530502796173, 0.08877309411764145, -0.08843504637479782, -0.3244572579860687, -0.5910153388977051, -0.22779929637908936, 0.14086425304412842, 0.015015513636171818, -0.03746414929628372, 0.3876315951347351, 0.6239307522773743, 0.22337748110294342, 0.03948315978050232, -0.7016441822052002, -0.41730985045433044, -0.1523437649011612, -0.7805892825126648, 0.02087320201098919, 0.25377172231674194, -0.5645608305931091, -0.0003712053585331887, -0.3377515375614166, -0.3346770405769348, 0.02826080657541752, 0.8683915734291077, 0.12244480103254318, -0.3941799998283386, -0.47849082946777344, 0.6727867126464844, -0.36660924553871155, 0.28447720408439636, -0.21747948229312897, 0.47566789388656616, 0.5604047775268555, -0.0007435703882947564, 0.2906641364097595, 0.053221702575683594, 0.06547241657972336, 0.5496332049369812, -0.22758419811725616, 0.8577427864074707, -0.24051624536514282, -0.11380210518836975, -0.37457165122032166, -0.25104743242263794, 0.2920581102371216, 0.7609876990318298, -0.5343249440193176, -0.023505160585045815, 0.2887159585952759, 0.3206874430179596, 0.12170971184968948, -0.13943397998809814, -0.28995609283447266, -0.8221712112426758, -0.07478753477334976, -0.3130679726600647, -0.11220979690551758, 0.23435468971729279, 0.24851515889167786, 0.17203091084957123, 0.027300234884023666, -0.26221969723701477, -0.014628174714744091, -0.3580230474472046, -0.29295018315315247, -0.1843944787979126, -0.015975620597600937, 0.7194465398788452, 0.8597062230110168, 0.2780647575855255, -0.6881703734397888, 0.32797273993492126, -0.05728137120604515, -0.39546382427215576, 0.2998393476009369, -0.038616444915533066, 0.18196582794189453, 0.2450103759765625, 0.2966434061527252, -0.23485814034938812, 0.42348426580429077, 0.023426059633493423, -0.058936264365911484, -0.28428277373313904]"
