id,features
20,"[0.1408044993877411, 0.2383553832769394, 0.0002702552592381835, -0.2672964036464691, -0.12171041965484619, 0.09863968193531036, 0.21521446108818054, 0.2194211632013321, -0.013322672806680202, 0.038731664419174194, -0.2648618817329407, 0.2044319361448288, -0.026789523661136627, -0.11119215935468674, -0.22639979422092438, 0.19634497165679932, -0.1400296688079834, 0.13617953658103943, -0.0943174734711647, 0.24091820418834686, 0.09339885413646698, 0.12065676599740982, 0.13349482417106628, -0.06275012344121933, -0.009555313736200333, -0.2798326015472412, -0.19318312406539917, -0.2313789427280426, 0.13343346118927002, 0.1181449368596077, -0.27975448966026306, -0.11049022525548935, 0.02517697401344776, 0.2478276491165161, -0.21692366898059845, -0.23957020044326782, -0.0049353353679180145, 0.24466468393802643, 0.19230592250823975, 0.22533869743347168, -0.07671018689870834, 0.04135390743613243, -0.22231324017047882, 0.09338194131851196, -0.15441542863845825, -0.29125967621803284, 0.21696580946445465, 0.299155592918396, -0.30129992961883545, 0.4523673951625824, 0.010046753101050854, -0.19863098859786987, 0.10224106162786484, 0.006980189587920904, -0.10923606157302856, -0.22458340227603912, -0.23263825476169586, 0.17664296925067902, 0.16223323345184326, 0.2179238647222519, -0.300394207239151, -0.07422850281000137, -0.18806740641593933, 0.09834563732147217, -0.34305843710899353, -0.03994087502360344, 0.019020505249500275, 0.26699942350387573, -0.24286778271198273, 0.22681696712970734, 0.04947926476597786, -0.31313320994377136, 0.13752774894237518, -0.06826572865247726, 0.32134440541267395, -0.18436913192272186, -0.022943418473005295, 0.040465857833623886, -0.14828327298164368, 0.11457180231809616, 0.09489823877811432, -0.04245643690228462, -0.029503166675567627, -0.2686220407485962, 0.0006384608568623662, 0.06834255158901215, 0.13593193888664246, 0.16272762417793274, 0.2433261275291443, 0.26248425245285034, 0.39208975434303284, -0.05810641869902611, -0.22466014325618744, -0.04481489211320877, -0.043220438063144684, -0.04146706685423851, -0.18633830547332764, -0.09871908277273178, -0.16311980783939362, 0.12956778705120087]"
30,"[0.33442747592926025, -0.3084605634212494, 0.14751970767974854, 0.15359511971473694, 0.2795303165912628, 0.20907123386859894, 0.2769170105457306, 0.18418282270431519, -0.10222922265529633, -0.40115776658058167, 0.21109749376773834, 0.058096304535865784, 0.11089231818914413, 0.041262321174144745, -0.5224562287330627, -0.05917108803987503, -0.10912683606147766, 0.08807314187288284, -0.26887813210487366, -0.24848459661006927, 0.014306106604635715, 0.17241066694259644, 0.2173565775156021, 0.24196340143680573, 0.12527476251125336, 0.2421167641878128, 0.2782232463359833, 0.3634447753429413, -0.23699623346328735, 0.407262921333313, 0.4158904254436493, -0.4479212164878845, 0.20566415786743164, -0.04050002619624138, -0.004332230892032385, -0.4212924540042877, -0.012697724625468254, -0.2754136025905609, 0.4802125096321106, 0.006996581796556711, -0.0201979149132967, -0.03236088156700134, 0.28133079409599304, 0.1593584567308426, -0.13973306119441986, -0.12841521203517914, 0.06578431278467178, 0.27215576171875, -0.11749163269996643, -0.3193741738796234, -0.016878431662917137, -0.024978864938020706, -0.11494612693786621, -0.13156090676784515, -0.0028573807794600725, -0.25725582242012024, 0.08332491666078568, 0.49729692935943604, 0.2136669009923935, 0.3219221532344818, -0.5040944814682007, 0.24529457092285156, 0.18083412945270538, 0.2594005763530731, -0.025806041434407234, -0.059472013264894485, 0.7562813758850098, -0.12843574583530426, -0.26166120171546936, 0.13560079038143158, 0.04532665014266968, 0.0718577653169632, 0.4773574471473694, 0.16764087975025177, -0.01315307430922985, -0.39646971225738525, 0.1970347762107849, 0.16543202102184296, -0.3695816993713379, 0.13644695281982422, -0.28334179520606995, -0.044757723808288574, 0.11777079105377197, -0.003058863105252385, -0.23859694600105286, 0.018198661506175995, -0.35345759987831116, -0.01063633244484663, -0.13272975385189056, -0.29299280047416687, -0.19457334280014038, 0.03434838727116585, -0.36706429719924927, -0.05491634085774422, -0.27524441480636597, -0.007423031143844128, -0.015934094786643982, 0.2546437680721283, -0.015794267877936363, -0.01696009747684002]"
40,"[0.4345051944255829, 0.47063595056533813, 0.0026513896882534027, -0.09657478332519531, -0.45975741744041443, 0.045538850128650665, 0.7153314352035522, -0.5167551040649414, 0.004161992575973272, 0.13509336113929749, -0.02300780639052391, 0.4038199186325073, -0.32465580105781555, -0.21391917765140533, -0.1482599526643753, 0.21864980459213257, -0.25165829062461853, -0.1060071587562561, 0.19042257964611053, 0.3182607889175415, 0.0504499226808548, 0.16778716444969177, 0.24557723104953766, 0.04188006743788719, 0.19118113815784454, 0.09832246601581573, -0.06888018548488617, 0.1790521740913391, 0.14763599634170532, 0.2737746834754944, 0.3411465883255005, -0.24838367104530334, -0.5904781818389893, 0.15438570082187653, 0.24864867329597473, -0.04525186866521835, 0.1604430079460144, -0.1525086611509323, 0.11246634274721146, -0.07867635786533356, 0.07553158700466156, -0.31868353486061096, 0.3047989308834076, -0.2956811487674713, 0.12221886962652206, 0.09803260862827301, -0.3840172290802002, 0.3699754774570465, 0.362109512090683, 0.17361566424369812, 0.029819481074810028, 0.05247386172413826, -0.05470513552427292, -0.4191667437553406, 0.025995394214987755, -0.2767277956008911, -0.2161998748779297, 0.2556173503398895, -0.23398040235042572, 0.4319167137145996, -0.14228415489196777, 0.011928143911063671, 0.06931766867637634, 0.18952953815460205, 0.015721570700407028, -0.2492786943912506, 0.155363529920578, -0.06228982284665108, -0.043392449617385864, 0.21749712526798248, -0.04660582169890404, -0.27598291635513306, 0.09060760587453842, 0.47754597663879395, -0.489080548286438, -0.434142529964447, -0.1894434094429016, -0.22036857903003693, -0.23992282152175903, -0.16482654213905334, 0.06425552815198898, -0.24157175421714783, 0.03236313536763191, -0.3848438560962677, -0.12538501620292664, 0.09929906576871872, 0.19502221047878265, -0.1323724240064621, -0.07049543410539627, -0.11673053354024887, -0.31519606709480286, -0.45695191621780396, 0.4363936483860016, 0.15873602032661438, -0.06850185990333557, -0.02558029629290104, -0.2748703360557556, 0.14908094704151154, -0.4435616731643677, 0.4170396327972412]"
50,"[0.3089739978313446, 0.10619239509105682, -0.15512043237686157, -0.18285821378231049, -0.022243749350309372, 0.22185130417346954, 0.3150818347930908, 0.3061642646789551, -0.16880083084106445, -0.29344871640205383, 0.05265670642256737, -0.1484965831041336, -0.30254966020584106, -0.16364695131778717, 0.0007026460953056812, -0.049902405589818954, -0.31000155210494995, -0.012126942165195942, -0.06976526230573654, 0.08235377818346024, -0.13339221477508545, 0.5218113660812378, 0.11551940441131592, -0.12251681834459305, -0.03575722500681877, -0.08381650596857071, -0.063878133893013, 0.32666340470314026, 0.06902208179235458, 0.22690315544605255, -0.17778393626213074, -0.6345180869102478, -0.2356567233800888, 0.5381125211715698, 0.013469506986439228, 0.09494266659021378, 0.03997814655303955, -0.21384359896183014, -0.27474892139434814, 0.15431581437587738, -0.02245216816663742, -0.02654704637825489, -0.03491583094000816, 0.031110117211937904, -0.16733264923095703, 0.14051514863967896, -0.05067994445562363, 0.0781073123216629, -0.3390769064426422, -0.07979336380958557, -0.11944139003753662, -0.0696311891078949, 0.0350482314825058, -0.2638171315193176, -0.25158563256263733, -0.3723010718822479, -0.0863918587565422, 0.3581089377403259, 0.019502611830830574, 0.32605618238449097, 0.25004637241363525, -0.27015209197998047, -0.14812737703323364, 0.2011241614818573, -0.1564900428056717, 0.30828094482421875, 0.3319496512413025, 0.08590713143348694, 0.17316590249538422, 0.05176010727882385, 0.05403648316860199, -0.10964338481426239, -0.034653760492801666, 0.045266326516866684, -0.2098928838968277, -0.33527708053588867, -0.055188558995723724, 0.24751006066799164, 0.3449600636959076, -0.22152888774871826, -0.5239049196243286, -0.14476704597473145, -0.48062756657600403, 0.1952948123216629, -0.21325455605983734, 0.45084697008132935, 0.024238552898168564, 0.010280727408826351, -0.6309146285057068, 0.007803661283105612, -0.09376554191112518, 0.17401902377605438, 0.3915766477584839, -0.3559039533138275, 0.22881244122982025, -0.1277158409357071, -0.0213375985622406, 0.18843093514442444, 0.11857985705137253, -0.3131773769855499]"
60,"[-0.014790873043239117, -0.46369868516921997, 0.28848502039909363, 0.10410187393426895, -0.3644564747810364, -0.13471920788288116, -0.21089421212673187, -0.05155797675251961, -0.219352588057518, -0.16270804405212402, -0.09923449158668518, 0.18670615553855896, 0.16711178421974182, -0.1539134681224823, 0.028346074745059013, 0.11232604831457138, 0.03541428595781326, 0.20856545865535736, -0.14050081372261047, -0.34021884202957153, -0.3416586220264435, 0.05670452117919922, -0.0567442923784256, -0.2094247192144394, 0.20361685752868652, -0.3478866517543793, 0.4716346859931946, 0.06861995905637741, -0.2219087928533554, 0.33340319991111755, -0.19407100975513458, -0.31514766812324524, -0.2495873123407364, -0.12452162057161331, 0.10391812026500702, -0.24190331995487213, -0.08355584740638733, 0.023173389956355095, -0.0027456169482320547, 0.03855855390429497, -0.18743978440761566, -0.19262762367725372, -0.3160872459411621, 0.017807668074965477, -0.09813737869262695, 0.11270521581172943, -0.40411263704299927, 0.35170140862464905, -0.021161146461963654, 0.22150588035583496, -0.4661569893360138, -0.3027374744415283, -0.3759390115737915, 0.11931556463241577, -0.0068143983371555805, -0.5627629160881042, -0.2701798975467682, 0.07837003469467163, 0.24364511668682098, 0.3275935649871826, -0.4089682996273041, 0.6448436975479126, 0.0991184189915657, 0.14496004581451416, -0.20190581679344177, -0.2408118098974228, 0.23671607673168182, -0.041894812136888504, -0.23009715974330902, 0.0014106443850323558, -0.7653904557228088, -0.7209741473197937, -0.05658477172255516, -0.09687490016222, 0.036606431007385254, -0.4225897490978241, -0.11176075041294098, -0.23217028379440308, 0.032177798449993134, 0.0649731457233429, -0.012093916535377502, -0.3113897740840912, 0.12199660390615463, 0.18358032405376434, 0.12797702848911285, 0.07554671913385391, 0.6854122281074524, -0.0124488715082407, 0.05282668396830559, 0.04654490575194359, -0.11430282890796661, -0.03796776756644249, 0.6631659269332886, -0.10557281225919724, 0.347979873418808, 0.11899816989898682, 0.3931709825992584, -0.2637929320335388, -0.09987509250640869, 0.1493379771709442]"
70,"[0.15343832969665527, -0.20291677117347717, -0.27697134017944336, -0.045605842024087906, 0.16541807353496552, -0.14552877843379974, 0.3431217074394226, -0.20392879843711853, 0.041552379727363586, -0.15792983770370483, -0.020639693364501, 0.02075321041047573, -0.10664545744657516, -0.3770418167114258, -0.12207555770874023, -0.1505652368068695, 0.3040129244327545, -0.04223101586103439, -0.03809981420636177, -0.25984084606170654, -0.31957992911338806, -0.001035657012835145, 0.10580779612064362, 0.06821777671575546, 0.5927702188491821, 0.4409365653991699, 0.21090079843997955, -0.2743762731552124, 0.1285342574119568, 0.4243740439414978, 0.29808831214904785, 0.00892091915011406, 0.3097135126590729, 0.16555815935134888, 0.07882805913686752, -0.18822899460792542, -0.1342257857322693, -0.25349903106689453, -0.15387754142284393, 0.1348908543586731, -0.41475024819374084, -0.1363735795021057, 0.12962058186531067, 0.38261815905570984, -0.12197773158550262, -0.3334100544452667, -0.1579909473657608, -0.18045242130756378, 0.03815322369337082, 0.2379499077796936, 0.16810661554336548, 0.05783816799521446, 0.18211033940315247, -0.04511350393295288, 0.02929731272161007, -0.1673598438501358, 0.03425303101539612, 0.37442484498023987, -0.2738485634326935, 0.28784385323524475, -0.06510332226753235, -0.05467354878783226, -0.03039637953042984, 0.2321518361568451, -0.3432473838329315, -0.1079665794968605, -0.17027515172958374, 0.39785638451576233, -0.4027358591556549, 0.0990300178527832, 0.389469712972641, -0.39711180329322815, 0.3467949330806732, 0.10667897760868073, -0.12134130299091339, -0.11073532700538635, 0.08412053436040878, -0.25161629915237427, 0.10844049602746964, 0.09195047616958618, -0.30298754572868347, 0.15758363902568817, -0.49145784974098206, 0.03247049078345299, -0.11678236722946167, 0.26080065965652466, 0.2454877644777298, 0.09848102182149887, 0.08221924304962158, -0.28701052069664, -0.24520978331565857, -0.02722615748643875, 0.19467002153396606, 0.3652079403400421, 0.4473910629749298, -0.3041606545448303, 0.12620899081230164, 0.0231547299772501, -0.1975547969341278, -0.04154727980494499]"
80,"[0.43717026710510254, -0.11102236062288284, 0.10041448473930359, -0.01959727331995964, -0.34823644161224365, 0.00847647711634636, 0.38572654128074646, -0.08263873308897018, 0.666746973991394, -0.06320992112159729, -0.29415056109428406, 0.023102208971977234, -0.35408520698547363, -0.14841726422309875, -0.13745543360710144, -0.33144548535346985, -0.14315424859523773, 0.35668978095054626, -0.3159394860267639, -0.1792902946472168, 0.04726298153400421, 0.30487245321273804, -0.2602977454662323, 0.25219663977622986, -0.15873679518699646, -0.21173450350761414, 0.15428407490253448, -0.33371755480766296, -0.01634596660733223, 0.32580897212028503, 0.06835494190454483, 0.11657369881868362, 0.034871045500040054, -0.3206540644168854, -0.053988777101039886, 0.3969966173171997, 0.507103681564331, -0.2314886599779129, -0.03672182559967041, 0.20153948664665222, 0.10257215797901154, 0.22328104078769684, 0.3082906901836395, 0.2748565375804901, -0.38380688428878784, 0.05655480548739433, 0.5411640405654907, 0.1021580845117569, -0.15207189321517944, 0.49600663781166077, 0.09228738397359848, -0.34210553765296936, 0.06414418667554855, -0.25639113783836365, -0.24917873740196228, -0.6883434057235718, -0.2437400370836258, 0.08771109580993652, -0.4068334102630615, 0.4043984115123749, -0.20947451889514923, 0.08876053243875504, 0.035619787871837616, -0.1763780415058136, -0.08099763840436935, -0.2653011977672577, 0.2427753210067749, -0.08103573322296143, -0.48150819540023804, -0.07688211649656296, -0.35914677381515503, 0.2173396348953247, -0.2674447298049927, -0.1012665331363678, 0.05529181659221649, 0.2785540223121643, 0.2714552581310272, 0.12938567996025085, -0.16737106442451477, -0.040674787014722824, -0.5385408997535706, -0.15017373859882355, -0.012806233018636703, -0.09462684392929077, -0.20040887594223022, -0.28123739361763, 0.227264404296875, 0.30484798550605774, -0.21225735545158386, 0.24948132038116455, -0.6557333469390869, -0.214256152510643, 0.43721291422843933, -0.18159258365631104, 0.24779973924160004, -0.055297840386629105, 0.1977444291114807, 0.1947423666715622, 0.4007260203361511, 0.16143731772899628]"
90,"[-0.20389121770858765, 0.05878521502017975, 0.17849579453468323, -0.17704340815544128, -0.12384554743766785, 0.13910965621471405, 0.3363158702850342, 0.027698220685124397, -0.16494086384773254, 0.14215010404586792, 0.0530659481883049, -0.2608404755592346, -0.07537207007408142, -0.3677893579006195, -0.10582171380519867, -0.04012887552380562, -0.010757622309029102, 0.026518596336245537, 0.12794502079486847, -0.22777226567268372, -0.4377337396144867, 0.12650243937969208, 0.09563840925693512, -0.2048448920249939, -0.0741441622376442, -0.044935159385204315, 0.12533234059810638, 0.12270515412092209, -0.12591512501239777, -0.11968362331390381, -0.09776001423597336, -0.09334208816289902, -0.15134653449058533, 0.13512705266475677, 0.26069414615631104, -0.059365950524806976, 0.17533911764621735, -0.5216798186302185, -0.17985939979553223, -0.24618788063526154, -0.30306532979011536, 0.19840121269226074, 0.18580830097198486, -0.18438243865966797, 0.1987690031528473, -0.020398767665028572, 0.20513102412223816, 0.1654350906610489, -0.1997160017490387, 0.29842808842658997, 0.09636671096086502, 0.07783730328083038, -0.025767220184206963, -0.2149593085050583, 0.2261001616716385, -0.16798967123031616, -0.025962108746170998, 0.03636902570724487, 0.4879646897315979, -0.1312885731458664, -0.35355743765830994, 0.2769944369792938, -0.0036948141641914845, 0.20131267607212067, -0.31182563304901123, 0.12990914285182953, 0.16724233329296112, 0.0971999242901802, -0.1110735535621643, 0.08895479142665863, 0.03579232841730118, -0.5127473473548889, 0.078433096408844, -0.004473595414310694, 0.07950397580862045, -0.03585166856646538, 0.1964806169271469, 0.12209445238113403, -0.0038698704447597265, -0.1665113866329193, -0.19462653994560242, -0.48768511414527893, -0.31642505526542664, 0.04711141809821129, -0.18583419919013977, -0.045736562460660934, -0.22856932878494263, -0.14159564673900604, 0.19046032428741455, -0.18985615670681, 0.15776611864566803, 0.20963561534881592, 0.03404638543725014, -0.10017796605825424, 0.23550044000148773, -0.13549883663654327, 0.046383969485759735, 0.4468597173690796, -0.10115460306406021, 0.4790116548538208]"
100,"[0.05091817304491997, -0.32196590304374695, -0.1683557778596878, 0.15298809111118317, -0.3257807791233063, 0.06209177151322365, -0.057999223470687866, -0.06690940260887146, -0.475829154253006, -0.011619595810770988, -0.11423425376415253, 0.31372764706611633, -0.17955094575881958, 0.35521674156188965, -0.0696517825126648, -0.2509150505065918, 0.13019907474517822, -0.13904969394207, 0.023129209876060486, 0.14168645441532135, -0.21715949475765228, 0.6362048387527466, -0.08632597327232361, -0.4316695034503937, 0.054747261106967926, 0.0963343158364296, 0.2859079837799072, 0.051491137593984604, 0.40870511531829834, 0.2134881168603897, -0.15095993876457214, 0.2029731273651123, -0.17847301065921783, 0.24347081780433655, 0.31599047780036926, 0.23447062075138092, 0.6856101155281067, -0.013654427602887154, -0.26390373706817627, -0.3066678047180176, 0.18732252717018127, 0.23182328045368195, 0.27704668045043945, 0.18372759222984314, 0.18650203943252563, -0.3021201193332672, -1.5984211131581105e-05, -0.09215181320905685, 0.027374090626835823, 0.033792365342378616, -0.04462725669145584, -0.34536081552505493, -0.2313149869441986, -0.04512675851583481, -0.3366844058036804, -0.20166011154651642, -0.28523483872413635, 0.02829800918698311, -0.14071662724018097, 0.3333244323730469, -0.22911687195301056, 0.2916184365749359, 0.15914073586463928, 0.2119876593351364, 0.05268023535609245, -0.4777770936489105, 0.1334787905216217, 0.31131359934806824, -0.35514628887176514, 0.17920173704624176, -0.26341360807418823, -0.29921096563339233, -0.0648394301533699, 0.11553032696247101, -0.15299957990646362, -0.027613893151283264, -0.38863256573677063, 0.18273231387138367, -0.4134008288383484, 0.41727423667907715, -0.007108600810170174, -0.27366164326667786, -0.031430814415216446, -0.1618942767381668, -0.3064746856689453, 0.023606358096003532, 0.25522100925445557, -0.05873151123523712, 0.15222658216953278, -0.04155650734901428, -0.3447955250740051, 0.1733800321817398, 0.19524767994880676, 0.0549381747841835, 0.06105176359415054, -0.050905656069517136, 0.7069875597953796, 0.6608995795249939, -0.4584735929965973, -0.2060215026140213]"
110,"[0.018511325120925903, -0.11004049330949783, -0.06295409053564072, -0.10231741517782211, 0.09994670748710632, 0.2714202105998993, 0.43706828355789185, -0.09633191674947739, 0.18321730196475983, -0.2133094072341919, 0.22233973443508148, -0.031196031719446182, -0.06285799294710159, -0.12732172012329102, -0.11571408063173294, -0.19192883372306824, -0.015362146310508251, 0.0656106099486351, 0.4020652174949646, 0.04382605478167534, -0.09325099736452103, -0.053921863436698914, 0.3752143085002899, 0.2676022946834564, 0.27717581391334534, 0.3174014687538147, 0.6417551040649414, 0.3699808716773987, -0.013694791123270988, -0.07706215977668762, 0.20954430103302002, 0.03894055634737015, -0.3224504888057709, 0.0450257770717144, 0.05603842809796333, 0.42809462547302246, 0.5254918932914734, -0.20994393527507782, -0.1779874861240387, 0.04057065770030022, 0.006933289580047131, -0.027937810868024826, 0.2763393223285675, -0.12259794026613235, -0.01333466824144125, 0.4030636250972748, 0.03884998336434364, 0.3317306935787201, -0.15175817906856537, 0.9043185710906982, 0.04865444079041481, -0.1260913759469986, -0.20411443710327148, 0.3631405234336853, -0.2963464856147766, -0.09726384282112122, -0.21194623410701752, 0.43561387062072754, 0.24659286439418793, 0.22457419335842133, -0.3727773129940033, 0.23540715873241425, -0.1147259995341301, 0.10058619827032089, -0.11014953255653381, 0.202152281999588, -0.0387432798743248, 0.06252943724393845, -0.0932980626821518, -0.47583961486816406, 0.05198971927165985, 0.08829477429389954, -0.12607045471668243, 0.4501138925552368, -0.00638490729033947, 0.04321668669581413, -0.23584090173244476, 0.3667401969432831, -0.6964439153671265, -0.10334194451570511, -0.22022582590579987, 0.20658524334430695, -0.18754363059997559, 0.00873551145195961, 0.21253591775894165, -0.12904055416584015, 0.6074129343032837, 0.03441809117794037, -0.1520736962556839, -0.12076880037784576, 0.08669202029705048, 0.1017337515950203, -0.049595173448324203, 0.33651265501976013, 0.030074922367930412, 0.12170334905385971, 0.02537381276488304, 0.058204956352710724, -0.1833236664533615, -0.2996569573879242]"
