itemId,embedding
1,"[-0.4283519387245178, 0.21300667524337769, -0.1283942312002182, 0.05550627037882805, -0.09882955253124237, -0.26628389954566956, -0.7172421813011169, -0.231490820646286, -0.039993349462747574, 0.3767700493335724, 0.41260871291160583, -0.30331480503082275, -0.06028028577566147, -0.5344314575195312, -0.17432823777198792, -0.16627246141433716, -0.4509369134902954, 0.1605643928050995, 0.3148071765899658, -0.03340385481715202, -0.1407480388879776, -0.5081300735473633, 0.1285831779241562, 0.03874628618359566, 0.6060327887535095, -0.7866476774215698, -0.19913190603256226, -0.14230434596538544, -0.09804976731538773, 0.33002376556396484, 0.6917096972465515, -0.0393836610019207, 0.08824846893548965, -0.11848513782024384, -0.2853556275367737, -0.40111419558525085, -0.47174909710884094, 0.14846208691596985, -0.10275982320308685, 0.08952943235635757, 0.2853100001811981, 0.651763379573822, 0.043725721538066864, -0.8568806648254395, 0.0035486954730004072, -0.3161529302597046, 0.1649751216173172, -0.13159741461277008, -0.12341132014989853, -0.3607240915298462, 0.1357903629541397, 0.03548566251993179, 0.015261320397257805, -0.46762970089912415, 0.9093862771987915, -0.18121705949306488, 0.16987276077270508, -0.4239208996295929, -0.4735892415046692, 0.39823418855667114, -0.6827600002288818, -0.19817355275154114, -0.11421039700508118, 0.1286550909280777, -0.29598915576934814, 0.18702054023742676, 0.21391385793685913, 0.14553499221801758, 0.10509263724088669, 0.017215901985764503, -0.10957984626293182, -0.46132224798202515, 0.2353704273700714, 0.22386638820171356, -0.7181970477104187, 0.15947458148002625, 0.465910404920578, -0.30080869793891907, -0.8513859510421753, 0.6611082553863525, -0.2309855967760086, 0.5374348163604736, 0.00034535437589511275, -0.17169788479804993, 0.03288780897855759, -0.3621925711631775, -0.22198745608329773, -0.14926308393478394, -0.28422805666923523, -0.6041687726974487, -0.5191635489463806, -0.011899090372025967, 0.21161240339279175, -0.14577753841876984, -0.003193966578692198, 0.16737483441829681, -0.44249194860458374, 0.2600180506706238, -0.2251584380865097, 0.601134717464447]"
2,"[-0.14128844439983368, 0.09558873623609543, 0.12831003963947296, -0.6103451251983643, -0.8292677998542786, 0.4614523649215698, -0.1651696413755417, 0.06351277977228165, -0.14631770551204681, -0.08130255341529846, -0.10344007611274719, 0.2330089807510376, -0.4196835160255432, -0.05930092930793762, -0.34336361289024353, -0.3500000238418579, -0.5426173806190491, 0.419129341840744, -0.13407716155052185, 0.5085210204124451, 0.028712034225463867, -0.11572585999965668, 0.06603104621171951, 0.09485069662332535, -0.31052908301353455, 0.1068938747048378, -0.296319842338562, 0.4703807532787323, 0.002160925418138504, 0.40341290831565857, 0.29859429597854614, 0.18880225718021393, -1.5107210874557495, -0.6562941670417786, -0.2152947336435318, 0.09251914173364639, 0.744953989982605, -0.19740065932273865, 0.3973517417907715, -0.6596641540527344, -0.19060026109218597, 0.24051374197006226, -0.11553854495286942, -0.1584128588438034, -0.4104122221469879, 0.1449875831604004, -0.1575869917869568, -0.07709552347660065, -0.0074361469596624374, -0.16638195514678955, -0.08971396833658218, 0.1302194893360138, 0.28231799602508545, -0.28699538111686707, 0.41605955362319946, 0.03199769929051399, 0.22514154016971588, -0.0280779842287302, -0.15417738258838654, -0.23450718820095062, 0.4367663264274597, -0.30886310338974, -0.14366556704044342, -0.5857610702514648, -0.7706469297409058, 0.03403914347290993, 0.8708757758140564, 0.47233647108078003, -0.06764965504407883, -0.35161200165748596, -0.7191928029060364, -0.29766494035720825, -0.5901578068733215, -0.21762093901634216, -0.3511100709438324, -0.21717576682567596, 0.02167968638241291, -0.02149055339396, -0.26768437027931213, -0.29823923110961914, -0.10723571479320526, -0.1825808584690094, 0.026230478659272194, -0.7484354972839355, 0.16453817486763, -0.31777551770210266, -0.5188679695129395, -0.15484263002872467, -0.3712413012981415, -0.32795795798301697, 0.14756248891353607, -0.13867589831352234, -0.35794922709465027, 0.19232602417469025, 0.4311985671520233, -0.12401339411735535, 0.43775585293769836, 0.37157830595970154, 0.7381588220596313, -0.3014250099658966]"
3,"[0.3770502209663391, -0.39887335896492004, 0.327299028635025, 0.6384256482124329, -0.22659537196159363, 0.20573918521404266, 0.663375198841095, 0.535778284072876, -0.08842198550701141, 0.02387409098446369, -0.6077060699462891, 0.22151891887187958, -0.12008196115493774, -0.36266079545021057, 0.012220658361911774, 0.11618170887231827, -0.8960614800453186, -0.5326391458511353, 0.14059625566005707, -0.5566146969795227, -0.3675956726074219, 0.01988177001476288, 0.24597442150115967, 0.7217612266540527, 0.47355911135673523, -0.5890726447105408, -0.1841101497411728, 0.3542911410331726, -0.22586534917354584, 0.1318836510181427, 0.6577860116958618, 0.81978440284729, 0.1679408848285675, 0.28320664167404175, -0.32887616753578186, 0.16062510013580322, -0.015622359700500965, -0.1466074287891388, 0.04330962151288986, 0.2640324532985687, 0.5127278566360474, -0.1102922260761261, -0.3597452640533447, 0.24784322082996368, 0.5383766889572144, 0.16033044457435608, 0.4819487929344177, 0.5483365058898926, -0.7332186698913574, 0.4532354772090912, -0.598408579826355, -0.015405474230647087, 0.3738917410373688, 0.26685869693756104, 0.26595067977905273, 0.4725278317928314, -0.11146365106105804, 0.18244151771068573, 0.16751830279827118, 0.06802776455879211, -0.08544910699129105, -0.23494049906730652, 0.3282773792743683, 0.051624298095703125, 0.15820328891277313, 0.10818184912204742, 0.41353297233581543, -0.535062849521637, -0.2341233193874359, -0.32518860697746277, -0.10379358381032944, -0.4423240125179291, -0.2504582107067108, -0.08649025112390518, -0.1521598994731903, -0.41404953598976135, -0.7840631604194641, 0.15067271888256073, 0.2856757640838623, -0.442526251077652, 0.40898990631103516, -0.4304454028606415, 0.6466842889785767, -0.21002523601055145, -0.5218995809555054, -0.46735042333602905, 0.24701069295406342, -0.19684165716171265, 0.07950315624475479, -0.525047779083252, 0.5387169122695923, 0.30502381920814514, -0.2094777673482895, -0.02707388438284397, 0.31002968549728394, -0.13294914364814758, -0.3655047118663788, 0.05105041339993477, -0.053626663982868195, -0.6264039874076843]"
4,"[-0.47694000601768494, 0.1541784554719925, 0.4284335970878601, 0.6999219059944153, 0.12946321070194244, -0.1709679216146469, -0.7768731117248535, 0.8476173877716064, 0.3429439067840576, 0.0016516732284799218, 0.3316630423069, -0.4626997113227844, -0.26148903369903564, 0.2310253232717514, -0.017218895256519318, -0.30112704634666443, -0.3267141580581665, 0.5154091715812683, 0.8197492957115173, 0.5670173168182373, -0.36605727672576904, 0.055777184665203094, 0.501821756362915, -0.3834947347640991, -0.3403395116329193, -0.3432380259037018, 0.19615952670574188, 0.03191261366009712, 0.10480652004480362, 0.7772846221923828, -0.4093124568462372, -0.14822939038276672, -0.5607966780662537, 0.01578066125512123, 0.17305666208267212, -0.25237837433815, -0.15091431140899658, -0.24216938018798828, -0.15402533113956451, -0.46548396348953247, -0.28288036584854126, 0.16478918492794037, -0.3691180944442749, 0.20441952347755432, 0.14905256032943726, -0.8280000686645508, -0.0853743925690651, 0.1320703774690628, 0.3136973977088928, 0.1849909871816635, 0.2171299159526825, -0.19620001316070557, 0.03465389460325241, 0.09028083831071854, 0.2613101899623871, 0.2950536906719208, 0.10147439688444138, 0.6106205582618713, 0.41153162717819214, 0.21773084998130798, 0.34565645456314087, 0.4827098846435547, 0.2755530774593353, -0.23069675266742706, -0.38677123188972473, -0.22240985929965973, 0.13459597527980804, -0.09681867063045502, 0.4196886718273163, -0.37133729457855225, -0.20324933528900146, 0.6234647035598755, 0.2850698232650757, -0.619716465473175, -0.363522469997406, 0.017071247100830078, 0.23337753117084503, -0.29144755005836487, -0.03772825375199318, -0.045516371726989746, -0.17603427171707153, 0.039880238473415375, -0.16153492033481598, -1.1146079301834106, 0.41358819603919983, -0.13292841613292694, 0.23445041477680206, 0.5478112101554871, 0.5263106822967529, -0.5760921835899353, -0.26427024602890015, -0.2429601103067398, 0.27510589361190796, 0.36318832635879517, 0.06455234438180923, 0.503465473651886, 0.472319096326828, -0.570827305316925, -0.1372481882572174, -0.05878863111138344]"
5,"[0.12003057450056076, -0.5998967885971069, -0.5316462516784668, 0.049661654978990555, -0.2771960496902466, 0.39651989936828613, 0.1379471868276596, 0.23861324787139893, 0.6681970953941345, 0.08400724083185196, -0.19530610740184784, 0.06862197071313858, 0.8177691698074341, 0.0344046875834465, -0.23970553278923035, -0.37473970651626587, -0.4442686438560486, 0.37392789125442505, -0.1152704581618309, -0.14303578436374664, -0.0970977321267128, 0.19232027232646942, 0.11801834404468536, -0.06970467418432236, 0.19516496360301971, -1.114620327949524, -0.1028967797756195, 0.36487942934036255, 0.3559371531009674, 0.3998675048351288, 0.688048243522644, -0.13352201879024506, -0.3833189308643341, -0.10957283526659012, -0.40547528862953186, -0.6208294630050659, 0.025525104254484177, -0.03540434315800667, 0.08240073919296265, -0.25231340527534485, -0.05926593765616417, 0.10131336748600006, 0.06968583911657333, -0.5468394756317139, -0.6015827655792236, 0.3881501853466034, -0.25720876455307007, 0.5148841738700867, 0.12824656069278717, -0.2920992970466614, 0.7257450819015503, 0.0839715451002121, -0.39407607913017273, 0.2505723834037781, 0.08690432459115982, -0.20670606195926666, 0.3185349702835083, 0.09672323614358902, 0.04889008775353432, 0.18718917667865753, -0.6976262331008911, 0.2523350119590759, -0.05825116112828255, 0.43279221653938293, 0.019115878269076347, -0.4867342710494995, -0.5950465798377991, -0.17834000289440155, 0.012797598727047443, -0.5565007328987122, -0.25940531492233276, -0.4321703612804413, -0.46331945061683655, -0.15454362332820892, -0.1450362205505371, 0.40036535263061523, -0.011003793217241764, -0.7281274795532227, 0.09232975542545319, -0.19753989577293396, -0.2518980801105499, -0.28758504986763, -0.023954739794135094, -0.4979332685470581, 0.25228098034858704, -0.2998146712779999, -0.2648616433143616, 0.11787635087966919, 0.22885262966156006, -0.2027786523103714, 0.23390339314937592, -0.07371444255113602, 0.08837033808231354, 0.638834536075592, 0.2297467440366745, 0.12460964173078537, -0.23842260241508484, 0.5052329897880554, -0.1210840567946434, -0.2798176407814026]"
6,"[0.3515947759151459, 0.2866378128528595, 0.3472541868686676, -0.5029722452163696, 0.46274152398109436, 0.05253731831908226, 0.38808926939964294, -0.4335198402404785, 0.5813502073287964, 0.22423236072063446, -0.34931111335754395, 0.27382054924964905, 0.12049238383769989, 0.48763158917427063, 0.2402498871088028, -0.13747741281986237, -0.06120958551764488, -0.09502740204334259, 0.033286869525909424, -0.16914071142673492, -0.12671904265880585, 0.44879165291786194, -0.15680517256259918, 0.21750670671463013, 0.2464403212070465, -0.06722753494977951, 0.0871400311589241, 0.5496705770492554, 0.10416200011968613, -0.001372161670587957, -0.3598684072494507, -0.4056931138038635, 0.3863460123538971, 0.31407156586647034, 0.23785096406936646, -0.9130898118019104, 0.10539073497056961, 0.04616188630461693, 0.03244675695896149, -0.08453637361526489, 0.1389455795288086, -0.20109038054943085, -0.00733462767675519, 0.409601628780365, -0.056467264890670776, 0.33566004037857056, 0.2085004597902298, 0.004960514605045319, -0.34897667169570923, -0.3795582354068756, -0.22531172633171082, 0.312008798122406, -0.20971834659576416, 0.06709858775138855, 0.40036821365356445, -0.0640750527381897, 0.01980089768767357, 0.594680666923523, -0.1045379638671875, 0.21613986790180206, 0.11783124506473541, -0.0007407638477161527, 0.41246816515922546, -0.7621964812278748, 0.22286154329776764, 0.403984934091568, -0.35704004764556885, -0.031525351107120514, -0.23015813529491425, 0.30587247014045715, 0.4042316973209381, 0.33009278774261475, -0.45030677318573, 0.20768927037715912, -0.551570475101471, -0.1082846149802208, -0.3142428398132324, -0.16263152658939362, 0.010350151918828487, -0.3854678273200989, 0.06773114204406738, 0.24099348485469818, 0.5249390006065369, -0.2182895690202713, -0.8125063180923462, -0.15380817651748657, -0.2818426489830017, 0.05885918438434601, -0.2873345911502838, -0.06128028780221939, 0.16301938891410828, 0.43697401881217957, 0.1216663345694542, 0.8709734678268433, 0.3530380129814148, -0.06082179769873619, -0.45582300424575806, -0.29614388942718506, 0.5655075907707214, -0.3001149296760559]"
7,"[-0.653143584728241, -0.06213518604636192, 0.32947084307670593, -0.39635908603668213, 0.5481708645820618, -0.1459457129240036, -0.2916873097419739, 0.4202241897583008, 0.24184183776378632, 0.6739048957824707, -0.009831756353378296, 0.6674988269805908, 0.12316190451383591, -0.5343033075332642, -0.19224494695663452, -0.04046991094946861, -0.04145416244864464, 0.5117888450622559, 0.17108476161956787, -0.01577138341963291, -0.21488939225673676, 0.06402470171451569, 0.37276411056518555, 0.2165033221244812, 0.2134612649679184, 0.13779357075691223, -0.4191112816333771, -0.047922346740961075, -1.2558469772338867, -0.004567220341414213, 0.4780277907848358, -0.5853971838951111, 0.5644317269325256, 0.07237446308135986, 0.7583746910095215, -0.8833345770835876, -0.7103064656257629, 0.49023911356925964, -0.32931768894195557, -0.39341217279434204, -0.06565433740615845, 0.17038224637508392, -0.18002723157405853, 0.13485927879810333, -0.7778490781784058, -0.14365705847740173, -0.06985063850879669, -0.2150682806968689, -0.25891467928886414, 0.2553936243057251, -0.12296804785728455, 0.1339658498764038, -0.17772731184959412, -0.01394604705274105, 0.1310340166091919, -0.3398878872394562, 0.8647542595863342, -0.39971593022346497, 0.3667353093624115, -0.020251281559467316, 0.27265286445617676, 0.3916410803794861, -0.40733662247657776, 0.03217211365699768, 0.2611498236656189, -0.020698634907603264, 0.07962717860937119, 0.26340770721435547, -0.09588389843702316, -0.43488702178001404, -0.7667647004127502, -0.20869137346744537, 0.026216376572847366, 0.06281378865242004, 0.11485181748867035, 0.021181926131248474, -0.6917361617088318, -0.22286218404769897, 0.20732413232326508, 0.38808906078338623, 0.4422539472579956, 0.2554319202899933, 0.27826499938964844, -0.176698237657547, -0.05816345661878586, -1.0266611576080322, -0.14827027916908264, -0.7639707326889038, -0.29857248067855835, -0.38976845145225525, -0.19676674902439117, 0.043956417590379715, 0.5511010885238647, -0.02409564144909382, -0.5195190906524658, -0.5654542446136475, -0.06980446726083755, -0.11389821767807007, 0.1333252489566803, -0.3705102205276489]"
8,"[0.5263001322746277, -0.17711305618286133, 0.5634493231773376, 0.3290804624557495, 0.4752495586872101, 0.4678879380226135, 0.0943274199962616, 0.015934711322188377, -0.07811341434717178, -0.4864158630371094, 0.06690078228712082, -0.4858427345752716, -0.26762399077415466, 0.18404102325439453, -0.33483245968818665, -0.05941983312368393, 0.4845718741416931, 0.960576593875885, 0.43327048420906067, 0.6232428550720215, -0.2153460532426834, -0.3427516222000122, -0.08747776597738266, -0.6435415744781494, -0.003168227383866906, -0.13793697953224182, 0.3749045431613922, 0.04787468537688255, -0.25468283891677856, 1.0328896045684814, 0.617664635181427, 0.6495359539985657, 0.3127569258213043, 0.24394617974758148, 0.19890877604484558, -0.3161446154117584, 0.15936416387557983, -0.31659749150276184, 0.04099052771925926, -0.26324188709259033, -0.0023159529082477093, 0.1788259595632553, -0.41923245787620544, -0.029649827629327774, -0.5326016545295715, -0.18251223862171173, -0.6804214119911194, -0.027838053181767464, -0.2622857987880707, 0.1074085533618927, -0.2850695550441742, -0.10362502187490463, -0.8383221626281738, 0.187215656042099, 0.14820566773414612, -0.2954549789428711, 0.43397828936576843, -0.30197852849960327, 0.004354849923402071, 0.2016199231147766, -0.09955378621816635, 0.19039927423000336, -0.2659509778022766, 0.04273698106408119, -0.5923282504081726, -0.9378054141998291, -0.5148662328720093, -0.09301269799470901, 0.1120523139834404, 0.43082037568092346, -0.18102477490901947, -0.4618518650531769, 0.05244329944252968, 0.01925826445221901, -0.4709727466106415, -0.1330636441707611, 0.25436484813690186, 0.21850387752056122, 0.22066405415534973, 0.14230281114578247, -0.5858647227287292, 0.8260945081710815, 0.059567779302597046, -0.05705282464623451, 0.0008652596152387559, -0.5136651992797852, 0.5211403369903564, -0.4066822826862335, -0.3271704614162445, 0.11958944797515869, 0.17446579039096832, 0.08169205486774445, 0.7011615037918091, -0.47779905796051025, -0.23361404240131378, 0.589467465877533, 0.15420934557914734, -0.021635765209794044, 0.14026418328285217, 0.314556747674942]"
9,"[0.116302989423275, -0.8957629203796387, 0.5398041009902954, 0.15046623349189758, 0.5311683416366577, -0.007218735758215189, 0.1497691571712494, 0.40631458163261414, 0.022515658289194107, 0.8296952843666077, 0.23761074244976044, 0.26313304901123047, -0.16737955808639526, -0.6427988409996033, 0.3673916459083557, 0.17474482953548431, -0.17820021510124207, 0.8910735249519348, 0.7030323147773743, 0.10504690557718277, -0.39536580443382263, -0.06626493483781815, 0.3406551778316498, -0.00040834626997821033, 0.5767852663993835, 0.22929973900318146, 0.11781483888626099, 0.360731303691864, 0.03441277891397476, 0.1826137751340866, 0.29720208048820496, 0.3245023787021637, 0.6818388104438782, 0.11173021048307419, 0.425111323595047, -0.10547294467687607, 0.07848456501960754, 0.7058733105659485, -0.3876194655895233, 0.26896873116493225, -0.09485609084367752, -0.629742443561554, 0.3508802354335785, 0.5383235216140747, 0.4455338716506958, -0.2198476642370224, -0.13973960280418396, -0.5185762643814087, 0.47976449131965637, 0.6298332810401917, -0.407121479511261, 0.22723053395748138, -0.11199148744344711, -0.13213026523590088, 0.2237837165594101, 0.1856597363948822, 0.049402106553316116, 0.3093990087509155, 0.07035476714372635, -0.23937147855758667, 0.236821711063385, 0.06315069645643234, 0.42527931928634644, 0.20506349205970764, -0.6793002486228943, -0.44147005677223206, -0.024094367399811745, 0.19765253365039825, 0.5424100160598755, 0.400972455739975, -0.32230955362319946, 0.2253875583410263, -0.26403066515922546, -0.21719449758529663, -0.5032971501350403, 0.003901302581652999, -0.7311611175537109, -0.4056037664413452, -0.1503669023513794, 0.28356990218162537, -0.02153286151587963, 0.07096820324659348, -0.1400012969970703, -0.24718908965587616, 0.13103950023651123, 0.06765880435705185, -0.08962960541248322, 0.10567960143089294, -0.3260621428489685, -0.6774812936782837, -0.4496755599975586, 0.5630135536193848, -0.06894536316394806, 0.37061700224876404, -0.45661330223083496, 0.06714791059494019, -1.0996558666229248, 0.5116243362426758, -0.4481385350227356, -0.0584992952644825]"
10,"[-0.06332680583000183, 0.6591865420341492, 0.38112539052963257, 0.2789357304573059, 0.16619226336479187, 0.38409942388534546, 0.07839080691337585, -0.6880031228065491, 0.0030512474477291107, -0.6316994428634644, 0.4761219024658203, 0.1038517877459526, -0.2110692262649536, 0.06661858409643173, -0.2713795602321625, 0.4194831848144531, -0.5338245630264282, 0.2618137300014496, 0.29943007230758667, 0.2230594903230667, 0.05026228353381157, -0.12353663891553879, 0.17376303672790527, 0.20139466226100922, 0.13472715020179749, 0.025059456005692482, 0.45923134684562683, 0.3072427213191986, -0.07394714653491974, -0.12461906671524048, 0.45788171887397766, -0.0867157131433487, -0.11679423600435257, -0.4966554343700409, 0.28583014011383057, -0.4112880229949951, 0.371503084897995, -0.12217839807271957, -0.2144559621810913, 0.5132262706756592, -0.07030868530273438, -0.10805118829011917, -0.10351686924695969, -0.007983134128153324, -0.30465856194496155, -0.7224219441413879, 0.2635922431945801, -0.07069967687129974, -0.2463533580303192, 0.025066837668418884, -0.2706981301307678, 0.3416876494884491, -0.7947157025337219, 0.19705680012702942, -0.2239123433828354, 0.31992602348327637, 0.06427561491727829, -0.22452473640441895, -0.5960524082183838, -0.00735486438497901, -0.48078739643096924, -0.3627018928527832, -0.4980469346046448, -0.33735331892967224, 0.05720442533493042, 0.6101144552230835, -0.5644175410270691, -0.4407220482826233, -0.17560604214668274, -0.13679097592830658, 0.4553603529930115, 0.32997816801071167, 0.039266083389520645, 0.0017330964328721166, 0.3171032667160034, -0.7850139737129211, -0.9649574160575867, -0.045786190778017044, 0.558225154876709, 0.04363474249839783, -0.7067456841468811, -0.1472344696521759, -0.38894903659820557, -0.44563719630241394, -0.24019089341163635, -0.699680507183075, -0.9591474533081055, -0.38309556245803833, 0.32244163751602173, -0.4836058020591736, -0.28297486901283264, 0.19522343575954437, 0.3956577181816101, 0.19443188607692719, -0.012732070870697498, 0.09903467446565628, 0.41217711567878723, 0.153304785490036, -0.14651694893836975, 0.22237072885036469]"
